	     Round: 1 There were 26 requests

Request		Start		Goal		Time		Approx.
____________________________________________________________________________________________________

1	|	4	|	3	|	11	|	1 Min 50 Secs
2	|	2	|	7	|	7	|	1 Min 10 Secs
3	|	7	|	0	|	14	|	2 Mins 20 Secs
4	|	1	|	7	|	7	|	1 Min 10 Secs
5	|	3	|	7	|	7	|	1 Min 10 Secs
6	|	4	|	0	|	8	|	1 Min 20 Secs
7	|	9	|	5	|	21	|	3 Mins 30 Secs
8	|	9	|	0	|	26	|	4 Mins 20 Secs
9	|	9	|	8	|	10	|	1 Min 40 Secs
10	|	2	|	1	|	3	|	0 Mins 30 Secs
11	|	8	|	3	|	17	|	2 Mins 50 Secs
12	|	1	|	0	|	17	|	2 Mins 50 Secs
13	|	3	|	0	|	17	|	2 Mins 50 Secs
14	|	3	|	0	|	17	|	2 Mins 50 Secs
15	|	8	|	9	|	8	|	1 Min 20 Secs
16	|	0	|	9	|	9	|	1 Min 30 Secs
17	|	6	|	3	|	15	|	2 Mins 30 Secs
18	|	6	|	3	|	15	|	2 Mins 30 Secs
19	|	8	|	5	|	8	|	1 Min 20 Secs
20	|	5	|	1	|	12	|	2 Mins 0 Secs
21	|	4	|	7	|	6	|	1 Min 0 Secs
22	|	6	|	8	|	7	|	1 Min 10 Secs
23	|	9	|	6	|	11	|	1 Min 50 Secs
24	|	7	|	1	|	9	|	1 Min 30 Secs
25	|	1	|	9	|	8	|	1 Min 20 Secs
26	|	3	|	1	|	16	|	2 Mins 40 Secs

Average Time: 1 Min 50 Secs
RoundTime: 19 Mins 20 Secs

+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-
	     Round: 2 There were 96 requests

Request		Start		Goal		Time		Approx.
____________________________________________________________________________________________________

1	|	5	|	9	|	9	|	1 Min 30 Secs
2	|	3	|	0	|	18	|	3 Mins 0 Secs
3	|	2	|	4	|	4	|	0 Mins 40 Secs
4	|	7	|	2	|	12	|	2 Mins 0 Secs
5	|	2	|	1	|	13	|	2 Mins 10 Secs
6	|	9	|	0	|	30	|	5 Mins 0 Secs
7	|	2	|	9	|	8	|	1 Min 20 Secs
8	|	6	|	9	|	8	|	1 Min 20 Secs
9	|	4	|	9	|	9	|	1 Min 30 Secs
10	|	3	|	7	|	7	|	1 Min 10 Secs
11	|	8	|	7	|	11	|	1 Min 50 Secs
12	|	5	|	7	|	4	|	0 Mins 40 Secs
13	|	9	|	0	|	15	|	2 Mins 30 Secs
14	|	0	|	8	|	23	|	3 Mins 50 Secs
15	|	1	|	0	|	11	|	1 Min 50 Secs
16	|	9	|	2	|	9	|	1 Min 30 Secs
17	|	9	|	6	|	4	|	0 Mins 40 Secs
18	|	7	|	0	|	10	|	1 Min 40 Secs
19	|	9	|	3	|	7	|	1 Min 10 Secs
20	|	4	|	9	|	9	|	1 Min 30 Secs
21	|	8	|	9	|	9	|	1 Min 30 Secs
22	|	4	|	7	|	7	|	1 Min 10 Secs
23	|	1	|	2	|	2	|	0 Mins 20 Secs
24	|	8	|	6	|	3	|	0 Mins 30 Secs
25	|	0	|	6	|	15	|	2 Mins 30 Secs
